,,,,GENERAL SPECIFICATIONS,,,,,,,,,,,STRESSOR SPECIFICATIONS,,,,,,,,,,,,,,,RESPONSE 1 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 2 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 3 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 4 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 5 SPECIFICATIONS,,,,,,,,,,,,,,,,BINARY RESPONSES,,,,,,,,,,,,,,,,,,,,DATA AVAILABLE?,,,,"IF DATA AVAILABLE, EFFECT DETECTED?",,,,,,
RefID,Author(s),Exposure General Description,Exposure Duration or Timepoint,Coral age class,Current genus name,Current species name,Colony form,Ocean,Study location,Study site,Study type,Event date,Event latitude,Event longitude,Sediment composition,Sediment level,Sediment level UoM,Sediment level converted to mg/cm2/day,Sediment level converted to mg/L,Sediment level average type,Sediment N for computing average,Sediment N UoM,Sediment lower error estimate,Sediment upper error estimate,Sediment level error type,Sediment exposure duration,Sediment exposure duration UoM,Sediment exposure duration in days,Sediment notes,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,High yield/ chlA?,Hydrostatic inflation?,Tentacular activity?,Increased mucus?,Congealed sediment?,Shift from auto to heterotrophy?,Reduced P/R?,Reduced photosynthetic efficiency?,Reduced growth rate?,Reduced fertilization success?,Limited settlement?,Bleaching or reduced chl-a?,Algal overgrowth?,Smothering?,Reduced larval survival? (pre-settlement),Reduced recruit survival? (post-settlement),Small necroses?,Large necroses?,Death of colonies?,Binary Notes,Non-adverse effect reported?,Adverse effect reported?,Mortality reported?,Adult mortality reported?,Effect of sediment on coral?,Non-adverse effect of sediment?,Adverse effect of sediment?,Sediment-induced mortality?,Sediment-induced adult mortality?,Additional notes on study,Rationale for inclusion
DS01,Babcock and Davies (1991),Control,"Tank 1, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0.5,mg/cm2/day,0.5,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,21.2,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",11.8,30.2,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,1.30,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.72,1.85,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,0,NA,0,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Control,"Tank 2, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",1.2,mg/cm2/day,1.2,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,31.2,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",19.0,43.8,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,1.91,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",1.16,2.68,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,0,NA,0,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Low sediment,"Tank 3, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",3.1,mg/cm2/day,3.1,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,3.8,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",1.7,5.9,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.23,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.10,0.36,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Low sediment,"Tank 4, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",3.1,mg/cm2/day,3.1,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,4.0,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",2.9,5.3,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.25,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.18,0.33,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Medium sediment,"Tank 5, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",6.1,mg/cm2/day,6.1,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,1.1,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.0,2.8,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.07,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.00,0.17,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Medium sediment,"Tank 6, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",7.0,mg/cm2/day,7.0,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,1.2,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.5,1.8,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.07,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.03,0.11,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),High sediment,"Tank 7, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",108.6,mg/cm2/day,108.6,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,0.0,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.0,0.0,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.00,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.00,0.00,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),High sediment,"Tank 8, n=3 settlement plates",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",325.6,mg/cm2/day,325.6,n/a,absolute,n/a,n/a,n/a,n/a,n/a,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,0.0,number of larvae settled,mean,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.0,0.0,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 1 Datathief; 3 settlement plates per tank, 2 tanks per treatment",Larval settlement rate,0.00,"% of larvae settled, of n=1630 larvae released per tank",mean rate,3,"settlement plate, each 64 cm2 area with 48 hr to settle",0.00,0.00,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Control,"Tank 1 and 2, n=6 settlement plates together",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0.9,mg/cm2/day,0.9,n/a,mean,2,traps,0.5,0.5,s.d.,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,26.7,number of larvae settled,mean,6,"settlement plate, each 64 cm2 area with 48 hr to settle",18.6,34.8,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 2 Datathief; lower error bound not shown, but value is estimated based on assumption of symmetrical error bars about the mean",Larval settlement rate,1.64,"% of larvae settled, of n=1630 larvae released per tank",mean rate,6,"settlement plate, each 64 cm2 area with 48 hr to settle",1.14,2.13,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,0,NA,0,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
DS01,Babcock and Davies (1991),Low sediment,"Tank 3 and 4, n=6 settlement plates together",larva,Acropora,millepora,n/s,Pacific,"Orpheus Island Research Station, Australia",Laboratory,manipulative,n/a,n/a,n/a,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",3.1,mg/cm2/day,3.1,n/a,mean,2,traps,0.0,0.0,s.d.,48,h,2,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",Larval settlement,4.3,number of larvae settled,mean,6,"settlement plate, each 64 cm2 area with 48 hr to settle",3.4,5.2,n/a,n/a,95% CI,48,h,n/a,n/a,"Fig. 2 Datathief; lower error bound not shown, but value is estimated based on assumption of symmetrical error bars about the mean",Larval settlement rate,0.26,"% of larvae settled, of n=1630 larvae released per tank",mean rate,6,"settlement plate, each 64 cm2 area with 48 hr to settle",0.21,0.32,n/a,n/a,95% CI,48,h,n/a,n/a,"Larval settlement (Response 1) converted to a rate, based on estimate that 1630 larvae released into each experimental tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,1,NA,1,NA,NA,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment","lab study with specific estimates of sedimentation stress and its effects on coral settlement; all tiles horizontally positioned with all sides accessible to larvae, with larvae counted on top, sides, and bottom; settlement counted after 48 hours of larvae being released"
