SPECO,name,ground_truth_name,cat/bin/num/desc,og/calc/inf/summ,nom/ord,comm/coded,cat source,text/table/fig,subj/obj
Study,ocean,Ocean,cat,og,nom,comm,,,
Study,study location,Study location,desc,og,,,,,
Study,study site,Study site,cat,inf,nom,,,,
Study,study type,Study Type,cat,inf,nom,,,,
Study,event latitude,Event latitude,num,inf,ord,,,,
Study,event longitude,Event longitude,num,inf,ord,,,,
Population,coral age class,Coral age class,cat,inf,ord,coded,spec,,
Population,current genus name,Current genus name,cat,og,nom,,link,,
Population,current species name,Current species name,cat,og,nom,,link,,
Population,colony form,Colony form,cat,inf,,,,,
Exposure,sediment composition,Sediment composition,desc,summ,,,,,
Exposure,sediment level,Sediment level,num,og,ord,,,,
Exposure,sediment level UoM,Sediment level UoM,cat,og,nom,,,,
Exposure,sediment level converted to mg/cm2/day,Sediment level converted to mg/cm2/day,num,calc,ord,,,,
Exposure,sediment level converted to mg/L,Sediment level converted to mg/L,num,calc,ord,,,,
Exposure,sediment level average type,Sediment level average type,cat,og,nom,,,,
Exposure,sediment N for computing average,Sediment N for computing average,num,og,ord,,,,
Exposure,sediment N UoM,Sediment N UoM,desc,summ,,,,,
Exposure,lower error,Sediment lower error estimate,num,og,ord,,,,
Exposure,upper error,Sediment upper error estimate,num,og,ord,,,,
Exposure,error type,Sediment level error type,cat,og,nom,,,,
Exposure,exposure duration,Sediment exposure duration,num,og,ord,,,,
Exposure,duration unit,Sediment exposure duration UoM,cat,og,nom,,,,
Exposure,duration (days),Sediment exposure duration in days,num,calc,ord,,,,
Exposure,notes,Sediment notes,desc,summ,,,,,
Outcome,response type,Response type,cat,inf,nom,,,,
Outcome,level,Response level,num,inf,ord,,,fig,
Outcome,unit,Unit of measurement,cat,og,nom,,,,
Outcome,level type,Average type,cat,og,nom,,,,
Outcome,sample size (n),N for computing average,num,og,ord,,,,
Outcome,n unit,N UoM,desc,summ,,,,,
Outcome,"time to response, numeric","Time to response, numeric",num,og,ord,,,fig,
Outcome,"time to response, UoM","Time to response, UoM"," UoM",og,nom,,,,
Outcome,source,Source of data,desc,summ,,,,,
Binary Responses,High yield/ chlA?,High yield/ chlA?,bin,inf,,,,,
Binary Responses,Reduced P/R?,Reduced P/R?,bin,inf,,,,,
Binary Responses,Reduced photosynthetic efficiency?,Reduced photosynthetic efficiency?,bin,inf,,,,,
Binary Responses,Reduced growth rate?,Reduced growth rate?,bin,inf,,,,,
Binary Responses,Death of colonies?,Death of colonies?,bin,inf,,,,,
Binary Responses,Increased mucus?,Increased mucus?,bin,inf,,,,,
Binary Responses,source,Binary Notes,desc,summ,,,,,
Data Reported?,Non-adverse effect reported?,Non-adverse effect reported?,bin,inf,,,,,
Data Reported?,Adverse effect reported?,Adverse effect reported?,bin,inf,,,,,
Data Reported?,Mortality reported?,Mortality reported?,bin,inf,,,,,
Data Reported?,Adult mortality reported?,Adult mortality reported?,bin,inf,,,,,
biblio,title,title,desc,inf,nom,,,,
biblio,authors,authors,desc,inf,nom,,,,
biblio,year,year,desc,inf,nom,,,,
biblio,doi,doi,desc,inf,nom,,,,
arity,num_species,num_species,num,inf,ord,,,,
arity,num_setups,num_setups,num,inf,ord,,,,
arity,num_responses,num_responses,num,inf,ord,,,,
,,
